formula,target
O4Zr2,0.4
LiLuO2,0.29
Ca3CdO4,0.25
BiPd2Sm,0.52
PdPm2Ru,0.38
Ho2I6,0.25
LiRh2Sn,0.29
MgPd2Sn,0.39
Co6Pt2,0.31
Pr2Ru2Si2,0.26
Si6W3,0.23
GeLi2Mg,0.34
BrCl6Rb2S,0.54
CBa,0.36
Mn2O2,0.34
CdO3Rh,0.95
NbSe2,0.24
Hg2Se4Sn,0.12
Li2SnZn,0.28
Ge4Sm2,0.34
SY,0.34
C4Ca2,0.37
LaLi2O7Ta2,0.24
Co2Si2Sm,0.24
Ag3Al2La,0.37
Ce2Ge4Pt4,0.35
Ge3Pu,0.21
In3Mg3Y3,0.2
O20P8,0.17
Rh4Sc4Si8,0.25
DyS,0.33
K4O4,0.29
Cl6K2Ti,0.31
CuHf2,0.3
AlMg4Si6,0.49
Pd2Si2Yb,0.32
C4Ca16N16,0.29
AlLaO3,0.23
Ge8K8Na16O28,0.29
C3W6,0.29
Be12Ta,0.11
Na4O12U4,0.24
K4,0.33
C12,0.19
HfKNi,-4.24
BeBiOs2,0.55
C2H2K2O4,0.3
Cu2Ge2Li4,0.21
RhZn,0.32
KNbO3,0.33
Li2O4Ti2,0.36
Ag2F4Li2,0.42
Li4O5U,0.21
F6La2,0.4
AcAu2In,0.41
GePa3,0.29
Hg2LiPm,0.4
AgPm2Sn,0.34
AlNbOs2,0.29
GaRu2Ti,0.32
CdPt2Y,0.42
HfIr2Yb,0.37
Bi3Pa,0.33
GeHgYb2,0.12
Hg2MgTb,0.32
DyPaRu2,0.51
FeSiW,0.3
Si23,0.25
GeSi3,-0.21
HgLa2Tl,0.31
NRe3,0.27
H3Pr,0.29
O3RbTm,0.46
C4Fe11Mo,0.32
AsCa3Sb,0.19
Li2Mn2Sb2,0.26
Cu2Ge2Mg2,2.24
AgPt5Si,0.37
Hf2V4,0.43
Se2Tb2,0.5
S4V3,0.21
Ba2Ge2Zn2,0.21
CaSe,0.22
Mo4S6,0.24
Mn2Pt2,0.31
CPbPt3,0.43
As4Rh4,0.33
Fe3Sn,0.29
Ni2P2U,0.37
GaRh,0.34
Sb4Ta5,0.26
Fe6P24,0.18
Cl2NSc2,0.24
Ba2Zn4,0.36
Co2Se2Tl,0.31
Ag4O8S2,0.4
Dy3In3Rh3,0.36
Fe8Ta4,0.32
Ag2Pr,0.36
CAlNd3,0.25
Ge2Na4O6,0.28
CB2NdNi2,0.32
O8Pb2W2,0.33
H8BaFeMg2,0.21
Rh3Si2Tb,0.26
Au2LiPd,0.47
MgPd2Zn,0.5
NiRuY2,0.32
Rh2SnTi,0.33
PtReTi2,0.33
SmYbZn2,0.26
Pd3V,0.31
B2K2O6Zr,0.29
Cs2F4Hg,0.23
AuClTi,0.55
AlO3Zr,0.29
CdHgNa2,0.67
P3Re,0.38
Mg2NdTm,0.27
MgPd5,0.36
AgAu2Pa,0.92
HgMg3,0.34
AuRuSm2,0.37
Mg2Yb4,0.27
BeLaO3,0.46
B2Cu2Se4,0.24
CrGa3P4,0.34
Cd2Sb4Sn2,0.29
CRe,0.33
NTa,0.26
MgO3V,1.06
CoRh2Sn,0.33
Ca2Hg2Sn2,0.37
Ga4Ti2Zr,0.24
C2BSc2,0.28
BaLiP,0.23
AgMn3N,0.27
Sn4Y2,0.24
Fe2S4,0.17
Co2CrIn,0.33
Ga2Y,0.2
In2Li2,0.43
Cl6K2Re,0.3
IRb,0.4
Cl6K2Ru,0.39
F6Ti2,0.31
Mg3Sb2,0.32
Sn2Ta6,0.43
Fe8Hf4Si8,0.29
Al2Bi2O6,0.27
N8O24Tl8,0.35
Ag2Be4,0.23
KNbZr2,0.67
CuMgY,1.17
CaTaTc,0.59
CTa2,0.27
S6Sc2U2,0.3
Ag2K4Sb2,0.24
O4Zr2,0.3
Hg2LaLi,0.42
ErPbRh2,0.99
OsTi3,0.36
Au3K2,0.31
InNbPt,0.47
KSnY,0.43
Au2Rb2Se2,0.24
HoO3Sn,0.35
MgNdO3,0.61
HoIn2Sm,0.32
Ag4Al2,0.36
Au2Ce2,0.37
Ag2Sc,0.3
MoS2,0.24
Al3CePt2,0.29
Te4TiV2,0.24
Mo3S6,0.23
Cu4In2,0.43
Ir3Zr,0.26
As2Ge2Te5,0.2
YZn,0.43
BaMn2O5Y,0.29
Pb3U,0.45
In2Sm4,0.31
Mn2Na2P2,0.22
Al3CeNi2,0.25
Rh4Yb2,0.34
Cd2EuP2,0.24
CeN,0.28
AsGa,0.23
Ni4S4Sb4,0.27
Cs8O16S4,0.3
S18Y12,0.3
Os2Si2Y,0.28
Cu2Si2Sr,0.22
DySe,0.34
Er2InMg,0.29
N4Yb6,0.31
F8Na3Zr,0.32
BeCo2Ti,0.28
Cu2Dy2O2Se2,0.31
GeNbRh,0.56
GaMg3,0.3
Cr3Nb3Si3,0.26
AgLiO2,0.44
HNiO2,0.21
CSc,0.29
Ir2N2,0.29
BGaN2,0.17
FeMnTe,0.19
HNa,0.32
NNp,0.47
As2K2Mg2,0.25
AlCrNi2,0.4
Rb2Se,0.29
CaPd5,0.31
LuNi2Si2,0.26
O2Pr2Te,0.29
Ag3Er3Pb3,0.3
Fe4O14P4,0.3
AuMnSn,0.38
In2Se4Zn,0.24
Cl6Cs2V2,0.34
OSr,0.24
Os2Sb4,0.22
IrLi,0.3
Cl2O2Pr2,0.29
Na6P2S8,0.31
Er2Si2,0.21
Ge2Pr2Sc2,0.24
CuSb3Ti2,0.27
As4Cu4S4,0.31
C2Dy,0.33
Cr16Ti8,0.33
C2Ho2Ru4Si2,0.31
Au8Ca10,0.33
Ba4Cu4O8,0.35
Sb4Th2,0.32
Ag4Cl4O12,0.39
AcGaTe2,0.35
PtSc2Zn,0.33
MgPm2Sn,0.35
Tc2TiV,0.32
GaHfIr2,0.37
Sm2Te6,-0.05
PtSnZr,0.23
InRb3,0.69
RbTl3,0.12
Li2PtTl,0.23
AgKO3,0.34
CeLi2P2,0.24
Ag2Au2O4,0.41
Au2O4Sr2,0.32
CdO3V,0.44
Al2Ni4,0.4
Cs2NpO4,0.22
Cr2Li12N8,0.17
Au2Li2Sn2,0.38
AgSbTe2,0.34
Au2Be,0.4
FeNiPt2,0.31
Ca2FeO6W,0.4
As4Fe2,0.18
In4Se4,0.23
Ho4In2,0.3
Ge2Mn2Ni2,0.3
Ni4P12,0.23
AuGaLi2,0.19
Cu3S4V,0.23
FOY,0.3
HgSr,0.4
Bi2ClO4Sm,0.31
O6P2Rb2,0.03
NiZn,0.62
Au5Ca,0.38
C8,0.21
Er2Sb2Zr2,0.28
Ca4Mg2O14Si4,0.33
Rh4Zr4,0.36
CaCsF3,0.34
CeO8Th3,0.31
K6P2,0.3
GaN,0.25
CdPr2Tl,0.35
CsS2Tb,0.25
PtTaTl,0.21
Cd2NdYb,0.29
Rb3Ru,0.45
MgMnO3,0.3
As3Sm,0.45
Al16Pt7Ti6,0.32
CsGdO3,0.32
Cl6NaRb2Tl,0.24
N2Nb2,0.42
Al2Zr2,0.38
AlBN2,0.22
CrFeTe,0.24
Ba4Br4Cl4,0.31
Ir2O4,0.32
HfRhSb,0.49
Ba2Be4N4,0.24
MgNi4Pr,0.33
Li6O8P2,0.25
Au2Nb,0.34
Ni4O14P4,0.3
Fe2Te2,0.25
B2Pt2,0.42
AlCe3,0.22
Hg4Na4,0.34
Cl2Ni,0.24
Br4Cd2,0.34
Ba4Br4Cl4,0.32
CaGe2Ni2,0.31
Ga2Ti6,0.3
Al3Si2Tb2,0.2
F6HfV,0.31
C4N16Sr16,0.31
Cu2Si2Th,0.26
Au4Sb8,0.35
CeLi2O3,0.3
Bi2Cd2O6,0.35
Li2Ni2O4,0.23
Rh2SbSc,0.66
NdRh2Yb,0.36
AlFe2Nb,0.26
Co2GeV,0.34
BeNi2Si,0.36
CaHg2Sm,0.29
Bi3BrO4,0.29
MgSrTl2,0.35
Al2RhRu,0.24
Dy2Mg2Sn2,0.23
GaRh2Sc,0.29
Na2Rb2S2,0.15
FeNbSb,0.29
C4,0.22
NNi,0.49
Ca3P2,0.23
BHfRh3,0.3
Cu2Mg2O4,0.23
Ba2O4Ru,0.23
Au6Lu2,0.37
S6W3,0.46
FeSc6Te2,0.29
Ni4Y4,0.36
Ag4Cs4Se16,0.23
C4Mn20Si4,0.28
Ba2Mn2O6,0.41
Fe2O4Yb,0.35
Hg2Zr2,0.39
I5Pr4Ru,0.24
Fe2Se2Tl,0.29
Co2GaHf,0.31
Mn4O8Sn2,0.33
Zr,0.47
F8Sr2Zn2,0.34
Li2O3Pr,0.33
O12Si6,0.21
F4Mg2,0.39
Ru8Sc4,0.38
Au2Ba2Sb2,0.26
Te10Zr2,0.29
NiTcW,0.44
B6Sm,0.26
O2TlY,0.31
AsGe,0.25
O16Ti4V4,0.29
Mn3NiO4,-0.09
CaRh2Sn,0.3
Cu6Pm2,0.37
Hf2IrRh,0.46
CeHg2Yb,-0.04
OsV3,0.31
Hg4Pd4,0.52
CuNi2Zn,0.38
Ag3Fe,0.47
Ge4Hf6,0.23
AuNa3,0.37
InMgSc2,0.16
InMg3,0.1
Ru2ScTm,0.33
Li6Re2,0.3
Au2F2O4,0.27
AsB2P,0.14
O2,0.41
N2ZnZr,0.31
Np2O2Se2,0.28
Pr2Sb2Te2,0.34
PPd5Sn,0.37
F3Sc,0.3
Rh5Y,0.31
O3RbU,0.29
Mg2Rh,0.25
MoN,0.79
F4Nb,0.16
B4Fe2Mo,0.26
S4Si2,0.24
Ga3Tm,0.29
Rb2Te4Y2,0.26
Cr8Zr4,0.37
DyP,0.21
InLi2Pt,0.39
InPu,0.1
I6Ti2,0.23
H2Al2O4,0.17
O2Tb,0.26
B6Co2W6,0.25
AuScSn,0.3
BiPd2Y,0.48
GaIrLi2,0.38
AlLiSi,0.16
Hf4N3,0.3
Ho2Li2Se4,0.23
MgNi4Y,0.3
GaNbNi2,0.42
Ca4O12Sn4,0.27
Ni2ScSn,0.33
As2O8Sc2,0.3
FKNb4O5,0.25
N2SZr2,0.29
Cl6NS2Sb,0.32
NdPt3,0.34
Cr8Ta4,0.34
BaO3Ti,0.26
Mg20Pd8,0.6
CrRh2Sr,0.55
FNa,0.24
Cu2Li2S2,0.38
AlSn,0.29
Al2Te4Zn,0.23
RuSc2Zn,0.36
CdHg2Y,0.36
AcTe3,0.31
MgOs2Ta,0.31
GaOs2Ta,0.3
NaS2Tm,0.23
LiS2Ti,0.21
FeSeZr,0.26
PdSiZr,0.3
HgInYb2,0.27
Bi6Na2,0.39
AlMn3,0.32
F6NaRb2Sb,0.32
HgP2Si,0.48
CrCu2Si,0.42
S2Ti,0.28
NTc3,0.26
AgLuO2,0.36
FeGaNi2,0.41
CoGa5Sc,0.27
As4Pd4Se4,0.33
HgS,0.36
N5P3,0.17
Co2GeMn,0.3
Ca3Li3Pb3,0.66
Dy3Ga2Mn3Si,0.28
Lu2Ni4,0.32
SeU,0.78
Pd4Sb4Zr4,0.37
Ru6Sn14,0.34
B4Co4W4,0.26
ClNa,0.24
Bi4O6,0.41
Br2O2Ti2,0.13
HNa,0.16
LiPd,0.33
ErPd3,0.35
BaNi2P4,0.52
Br4Li2Mg,0.26
I2N6Rb4,0.2
BiTl,0.25
Au7Rb3,0.37
HfTe2,0.18
Ca2O6Ti2,0.24
Li2Nd2S4,0.24
ErNi2Si2,0.27
Co2S2Sb2,0.23
O6Sr2Zr2,0.25
Au2F8K2,0.38
Rh2Si2U,0.28
F4Mn2,0.34
S10Zn10,0.29
C6N8,0.18
Br2Hg2I2,-0.76
BrK,0.43
AgTi3,0.41
N14Si8Sr2Y2,0.25
F6Mn2,0.2
O4Pt2,0.22
PtSbSr,0.32
NiOsSc2,0.3
CdInNd2,0.3
ErNbRu2,0.33
ErHoZn2,0.33
NaO3Re,0.38
NaO3Te,0.26
DyLaRu2,0.36
DyIn2Sm,0.33
ReYb3,0.4
CeDyZn2,0.34
Nb3Ni,0.05
AsZr,0.28
CoCrTe,0.31
CRe,0.26
RhSi,4.65
STi,0.21
BiCo2Cr,0.29
B2Be2Li2,0.1
CeS,0.25
Mg2Sb2Yb,0.22
NbPt2,0.31
O2Rb,0.32
As8Rh4,0.25
C2Ba,0.52
Mo8O24,0.1
N4Os2,0.24
Cr4Fe4P4,0.25
Cl6Zr2,0.28
Al2Cl6,0.24
Rh2Ti2,0.38
Ag2Cl6Cs2,0.28
Ge2Ni2Pt4,0.36
Pd20Sb7,0.41
AlLi2Pd,0.31
Pu2Zn4,0.21
Ho2Nb2O8,0.33
B4Ir4Li4,0.33
CdHo2S4,0.29
Ca4O16Sc8,0.26
C4O12Rb8,0.32
BeO4S,0.13
O4Sn2,0.29
Cs2Nd2O4,0.28
F6MoNaTl2,0.33
I2Li2,0.27
BaCl2,0.32
Ba2Ni2S4,0.29
O6Y4,0.3
O2SmTl,0.3
Ga2Ge2Te2,0.2
AgInSc2,0.31
HgNaPd2,0.4
AlOs2Ti,0.31
RuTcV2,0.31
AgInLu2,0.34
Cu6Ga2,0.34
DyMg2Sm,0.24
Os6Tc2,0.23
AsTc3,0.39
Mn3Zn,0.35
CoRb3,0.59
CrLi3,0.35
Sm2TlZn,0.32
S2W,0.21
Ag3Hg,0.49
Co2Nb8Si2,0.28
MgPtSb,0.32
Nb4Pt4Si4,0.33
Hf4La4O14,0.27
ScTe2Tl,0.25
Mn4Si4,0.22
As4Co4S4,0.18
Al2Au2O4,0.32
Cu6Se4,0.41
I2N2Zr2,0.19
Na6O6,0.25
Co2Hf4P2,0.28
BaLaMgO6Ta,0.36
CAlSc3,0.18
Ag2BaS4Sn,0.32
H12As2F12Li2O6,0.28
Rh4Zr4,0.35
Li2N6Si4,0.2
CsI,0.28
Co2Zr4,0.41
ScTl2W,1.24
Ag2BBr,1.56
As4Cu4Zn4,0.36
Dy2Se2,0.43
Fe16O24,0.31
Au2Si2Sr,0.32
B2Co3Hf,0.24
AlAsO4,0.18
In2LiTm,0.29
CdPaPt2,0.53
AlLiPt2,0.17
InMgNd2,0.27
N4Zr6,0.25
Ge12N8,0.27
Bi3Zn,0.4
PaU3,0.47
DyLa3,0.3
HfLa3,0.27
HgLu2Tl,0.39
AlO3Rb,0.24
IrNiPr2,0.42
O3RbTb,0.45
N2Os,0.41
BeSe,0.14
Ag,0.38
Mn8Nb4,0.36
Ir2N4,0.24
Dy2Rh4,0.33
O6Ti2Zn2,0.36
Al9Co2Sr,0.21
Fe2O8W2,0.33
CuHo,0.28
Ag2In2O4,0.37
Cl3CsPb,0.31
H2Cu2,0.36
Au2InSc,0.39
CAlTi3,0.23
FNdO,0.3
K2Mn2Sb2,0.26
O12Pr4Rh4,0.34
Ru16Si12,0.31
AlNNd2O3,0.24
F6NiRb2,0.23
As2BaFe2,0.27
Ge12N16,0.27
Mg3Tb,0.18
Cu2Li2O2,0.28
Cr4Si4,0.24
F6Sn2,0.43
GeP,1.34
AlBeRh2,0.28
CuGeRh2,0.35
Be2Na2Sb2,0.22
AsCaLi,0.3
CoMnSi,0.33
Pt3Rh,0.35
K3Tl,0.47
Ge2Y2,0.23
CY,0.3
AlTi3,0.37
Ge4,0.19
CrTe,0.34
NPSr3,0.18
CB2Rh2U,0.31
CFe2Si2Y2,0.23
CEr3In,0.37
Ba12N48Nb24,0.15
Cr3NPt,0.25
Al2FeZr6,0.3
Al4O6,0.24
NbNi3,0.31
ErTe,0.37
O14Pt4Tl4,0.29
Gd2,0.24
Ba4Mg8,0.25
Co4Mn4Si4,0.27
Ge4Mn4Ni4,0.32
InNi2Sc,0.32
Cs4O6Pb2,0.35
Cu12N12Sr12,0.29
Co6Hf6Sn6,0.28
Fe8Ti4,0.27
La4,0.23
I2N2Ti2,0.2
Cl12K4Mg4,0.28
CdTe,0.33
C2S6Tl4,0.26
Er20Si16,0.34
Al5Ba5Pb,0.25
Fe2Mn2O8,0.33
CrCuSe2,0.64
Hf4Ni2,0.43
CoReTi2,0.29
LiMg2Zn,0.23
CdNpPt2,0.28
LiSmTl2,0.36
P6U2,0.19
AgAuLi2,0.37
BeIr2Si,0.34
CaGeLi2,0.2
Ru2YZr,0.31
La2O4Pd,0.38
Pt2Tc6,0.24
Cd2Cu2F8,0.34
Si2,0.24
Cd2Te4Zn2,0.29
C2Ge6,0.41
HgLu2Mg,0.44
InRb3,0.46
LuNdTl2,0.36
CHf3,0.35
Au2LiMg,0.42
AcMg2Yb,0.23
Rh2Zn6,0.35
Na3Tl,0.09
Au2Cd2O4,0.37
BSb,0.17
CNb,0.45
CPd,0.45
Ba3BiN,0.33
Eu2Ge2Zn2,0.38
Sm2Te4,0.32
Rh3Ta,0.25
KMg6V,0.27
AgCu4Ho,0.38
Ga2I2Tb2,-0.42
PPd5Zn,0.33
O4Sr2Zr,0.28
Co2Cr6,0.66
Ga2N2Ti4,0.22
Li4N4Ru4,0.27
BeTi,0.25
Ni4ScSn,0.34
O10Te4,0.17
Pr4Tl2,0.33
Co2S2,0.36
Co4Sb12,0.22
Te2Zr2,0.29
As4Ti4,0.25
Mn2O6Ti2,0.32
S4Ta2,0.26
InNTi3,0.54
AuIn2,0.35
P4Ru4Zr4,0.28
BiEr,0.25
I2N2Th2,0.19
Ca4P4Pt4,0.3
Au2Tl4,0.35
Fe2NdSi2,0.24
Li3O4Ta,0.15
Ag2Bi2I8,1.0
F4O4Sc4,0.31
Al3Ti,0.18
H4AgNS4W,0.11
O2SmY,0.29
NbSe2,0.25
Cd2O8S2,0.31
AcAgAu2,0.56
ErPd2Yb,0.37
CdHg2Pr,0.36
Cu3Sc,0.49
CaO3Sr,0.87
ErRu3,0.44
Cl6Cs2NaSb,0.27
Cs2F6NNa,0.57
Er2,0.23
B4Mn4,0.36
ClCsIK,-0.06
BTc,0.42
FeMn,0.23
NRu,0.41
HLiPd,0.31
Pr2Se4,0.32
Mg6NaZr,0.5
O6,0.33
C3U2W2,0.28
CuO4Pr2,0.38
Ho3,0.23
P16Zn8,0.24
Be5Sc,0.14
RhTb,0.35
RuTa,0.31
Ag2Lu2Sn2,0.28
Mg4Pt2,0.27
SnTe,0.41
C2Mg2N4,0.25
Mn2O2,0.3
Cu2Sb4Y2,0.31
CSnTb3,0.39
GdNi2P2,0.26
Cs2I6V2,0.36
ClK,0.26
Pd3Yb,0.35
CdHg2,0.41
Ag2Th,0.29
Cr2Si2Te6,0.21
Ba2S6Ta2,0.41
CrKS2,0.21
Co2Se2,0.39
Br2CuO2Sr2,0.23
H3Ag2IO6,0.36
Cl6Co2Tl2,0.45
CaCu4In,0.31
Au2HfIn,0.41
CNb2S2,0.2
NaPmTe2,0.37
CeLi2Pb,0.44
LuRu2Ta,0.28
Rh6V2,0.28
SiTl3,0.48
Al3Li,0.27
HoIn2Nd,0.33
Li3Mg,0.32
Al2Cu,0.3
CoNi,0.87
H2Cr2,0.26
MnN,0.39
NTa,0.51
NbPd3,0.32
As2Na6,0.24
O16Si8,0.26
OsSc6Te2,0.31
Si2Zr4,0.22
C2Al2Ti4,0.18
B6Cr10,0.23
As4Rh6Sr,0.34
CaS,0.22
As4Zr4,0.27
B6Th,0.24
CoGe3La,0.27
NY,0.2
Ni5Y,0.29
GaNi2Zr,0.41
Ca2Cl2CuO2,0.27
H4Ca4O16P4,0.27
InTe,0.42
Br4K2Pd,0.24
Br2Ti,0.2
BiO2,0.35
DyPd2Si2,0.32
AgAsMg,0.43
AgNd5Se8,0.3
Pd36Si8,0.39
Ca4In2N2,0.2
B13N2,0.23
Au2InTb,0.41
Bi4I4,0.24
InMg3,0.33
Co2Li2S4,0.31
Mg2O8S2,0.22
Nb8O20,0.31
CuGePm2,0.31
Ir2MgSn,0.48
Lu2MgTc,0.34
LiOsZr2,0.34
Al2FeNi,0.26
CdLiPd2,0.39
HoN,0.19
Ag2Cu2S2,0.35
Ba6S14Zr4,0.28
P2Zn2,0.6
Si2U,0.29
BiKO3,0.2
C2Nb2,0.27
Au2Ho2,0.41
Bi2Pd2,0.38
CW,0.48
HoSb,0.49
P2Se2Th2,0.32
CaMg6Mo,0.24
DyGa4Ti2,0.24
Pt4Tm4,0.36
Ga4Lu2Ni2,0.24
CdLiP,0.29
Hg2Pt,0.36
Mg8Y4,0.27
As2BaCu4,0.42
AgTi,0.33
AuCeGe,0.36
InNi4Tm,0.33
Ce2Os4,0.47
In3Tm,0.34
Cr2Sb4,0.28
In2Se2,0.26
H32N16O24,0.3
Al2Zr4,0.28
Si3U,0.46
Ca4I2N2,0.14
O12P8,0.23
AlBBe,0.15
STh,0.36
Al12Mo,0.24
Al4B4O16Pb4,0.25
RuTi,0.28
BiKTi2,0.31
O4RhSb,0.29
FeLiS2,0.35
KO3Ti,0.31
O4Pa2,0.35
Tc2TmW,0.32
PaTc2Tm,0.35
NiO3Rb,0.42
Os2ScZr,0.31
B12Si3,0.21
HgPm2Zn,0.35
CoFeSbTi,0.31
Ga20Nd12O48,0.47
MnP,0.49
SiSn,0.23
CCoMg6,0.3
Ca2Zn2,0.57
Al2Si2Yb,0.23
Li3,0.3
RhTm,0.33
Ga4Se6,0.22
Mg2Si,0.17
CaCs2F4,0.35
PPtY,0.33
Al4Ho2Ni2,0.25
Er8O20Si4,0.31
Nb24Si8,0.32
Fe4Na4O16P4,0.29
PU,0.3
Ca2In4Pt2,0.32
Br2F2Sr2,0.23
Dy16O24,0.31
Be8Cr4,0.16
Al2Cu2O4,0.31
Br4OW,0.16
AlSc,0.28
Li2O6Ta2,0.22
MnN3Th2,0.28
C4,0.19
MnRh2Sn,0.4
In6O18Te3,0.32
Al9Ni6Y3,0.25
Al20Li4O32,0.24
Os2Si2Tb,0.29
O8Si4,0.32
Cr2F6,0.11
Se2V2,0.62
H2FeO2,0.25
BBeRe,1.47
CH2Y2,0.22
CuS,0.4
Nb2S4,0.28
HfInPd2,0.4
HoMgRh2,0.31
IrMoTi2,0.32
Ag2AlCe,0.41
LuO3U,0.29
Re3W,0.33
AgPr2Zn,0.31
H6Cs2GaTl,0.36
Co3Cr,0.26
HgO3Ru,0.34
CoGa4Hf,0.21
Hg2Sn2Sr2,-0.09
Ni2,0.33
CK2N2,0.31
Pd4Sb4Te4,0.33
Fe3Pt,0.36
CMnN2,0.35
CaGe2Pd2,0.36
As2CoO6,0.28
As4V4,0.25
Fe3Sn3,0.27
Br2Cu2,0.34
Nb4Se6,0.25
Be44W2,0.09
Er2Pt4Sn2,0.34
DyRh5,0.33
Au2Li4Sn4,0.31
CuGeLi2,0.24
C4N4Zn2,0.46
Fe4O16P4,0.01
Ge2W,0.19
Mn32O48,0.35
F6Ni2,0.2
Cd2S2,0.35
O26Sb12,0.25
O4Sn2,0.34
Bi4Hf4O16,0.3
F8Ge4,0.22
B2Nd2Ni8,0.3
Hf2LiRe,0.34
Ir2MnZn,0.34
Au2LiY,0.43
GaNbPt,0.49
AlRh2Zr,0.29
AgPdYb2,0.31
O6Sn2Sr2,0.59
NdOs4Sb12,0.52
AsCo2Cr,0.34
NNd,0.97
HfMgO3,0.29
GeO3Pb,-0.38
Al2Sb2,0.26
Co3Cu2Ho,0.32
O8Re2Zn,0.2
Al4Pt4,0.32
Nb2Rh2,0.26
Rh3Sn3Tm3,0.34
N2Zr2,0.33
Nb10Si6,0.24
Ir2Nb6,0.3
F6RhZn,0.21
F6HgRh,-0.4
KNa2Sb,0.24
Al8Li40O32,0.23
GeNi2Zn,0.38
Ir4Ta4Te16,0.21
CaCu5,0.32
O3PbTi,0.27
C2In2Sc4,0.23
In3Tb,0.28
O2Zn2,0.36
CeGa2,0.17
Fe3Ge3,0.28
Ca2ClN,0.22
C8,0.05
GaP,0.22
B2Nb2,0.2
Al12S18,0.23
IK3O,0.22
Cu2NdSi2,0.21
C4B4Dy2,0.22
Cs2,1.82
CoFe2Ge,0.57
Cu2O4Sc2,0.35
HoRh2Si2,0.27
Al2Ce2O6,0.29
MnRh,0.31
Na2Sb2Zn2,0.31
Fe2S2,0.24
O3SrTi,0.24
Ba6Bi2N2,0.29
CdSm,0.35
AsYb,0.65
Cu2HfIn,0.32
CaO7Si2Zr,0.29
As2Cu4,0.39
C2Ni6,0.35
BeRh2Ti,0.3
CaHg2Y,0.3
I2Li12P2S10,0.28
SmYZn2,0.32
CuPd2Sc,0.23
Cd2Sm6,0.29
As4Co4Hf4,0.28
Er2MgTl,0.34
CAlPt3,0.52
FeLiP,0.04
B2Ir3Th,0.29
MnO3Zn,0.16
Al6Mg2,0.39
KO3W,0.23
B4Ru2,0.25
Cr2Ge6Nd2,0.22
La8Te16,0.3
Ba2O6SbY,0.47
Ca2Cd4,0.3
Cr8Ti4,0.34
Ge4Th2,0.26
Fe4O8Si2,0.32
Te6Zr2,0.29
Be4Ta2,0.22
Cs4I12Sn4,0.28
Ni4O32Re8,0.15
F4Pb,0.2
BO4P,0.12
N8Si6,0.31
Al4U2,0.46
Li2Mn2P2,0.3
Er2Nb2O8,0.33
ClCsO4,0.35
CB2LaNi2,0.12
Al2Pt2Ti2,0.36
Cl6MnRb2,0.33
O20V12,0.3
Fe2GaNi,1.27
AlTaTi,0.59
Fe2GaTi,0.28
Rh8Sn4,0.36
MnPtSb,0.52
In6Sb2Te4,0.27
CuS2Sc,0.31
P8Pt4,0.23
Cs2O4Tm2,0.28
Ba3OSi,0.22
NaS2Ti,0.21
Ca2F8Pd2,0.32
B4Ca2Rh4,0.33
Pd4Sb4Sr2,0.39
Cl4Pb2,0.37
HgOsTm2,0.37
Os2SiV,0.3
Cu2O2Se2Sm2,0.29
CoSi3Sm,0.24
PtRh3,0.3
Li4,0.48
Cr3Nb,0.31
C2Re,0.24
Os3Zr,0.33
Mo2S4,0.22
Bi2Te2Th2,0.31
BiMg3,0.41
CdNd,0.33
Pa,0.3
Ca2Ga4,0.16
C4O8,0.33
PTe2Ti2,0.22
Ni3Pr3Zn3,0.33
FeSb2Zr6,0.28
F12Ge2K4,0.29
Pt3Tb,0.33
C4Al8Mo12,0.34
ErN,0.19
AlNNd3,0.37
O16Sb8,0.26
Bi2Ho6Mn,0.24
I2K2O8,0.27
HLiNd2O3,0.22
P4W4,0.28
H2S,-4.35
H6U2,0.27
Os4Si4,0.33
Ga2Ti2,0.24
Cl6Y4,0.2
Li4Si2,0.19
Fe5Ho,0.23
Cu2DySi2,0.21
Ag8Hg4O8,0.36
C4N8Si2,0.49
Au4V2,0.39
Er8Pt4,0.35
C4O12Sr4,0.29
Ca8O16Si4,0.29
F4NiRb2,0.29
PPr,0.23
C16,0.07
S12Ti24,0.26
Be2CdP,3.34
Sm4,0.24
B6Si,0.41
NiP4Si3,0.26
NTh,0.29
Br6Hf2,0.41
LiPaRu2,0.53
AuBe2Rh,0.4
As2CaZn2,0.24
O8Si4,0.28
ScZn3,0.33
Ce2LiRu,0.46
Hf2OsTc,0.32
I4Sn2,0.38
Na8O12Zr4,0.24
Au2Bi2O4,0.35
C2AgK,0.31
AsBiSr3,0.49
AsCoMn2,0.36
BaCu2Se2,0.33
Ni8Si4,0.35
B6Pr,0.23
Ni3Tb3Zn3,0.31
Mn8Ti4,0.37
O2Pb2,0.31
In2Se4Tl2,0.29
CoInMn2,0.41
Mn6Sn2,0.25
Fe4Hf4P4,0.25
AuCu3,0.35
Al4Br12,0.21
C8B8Sc4,0.19
BrK3O,0.23
As4Cd2Si2,0.28
Nb8Zn16,0.26
Ga2La2O6,0.31
BNi6Si2,0.34
Ce2Fe12P7,0.24
Al6Na8O24Si6,0.12
Ho2Rh4,0.33
CaO3Sn,2.14
F6FeK2Na,0.36
As4Ge3,0.25
Ce2Cl6,0.27
AlNi2Ta,0.37
Ge4Ni4Sc4,0.28
As2Cd2Sr,0.25
Ge2O6Zn2,0.36
Cd2ErMg,0.3
AgLu2Tl,0.36
Dy2,0.24
Ag2KS4Sb,0.34
Al6La2,0.27
